Kingdom	Phylum	Class	Order	Family	Genus	Species	Full_name	Heterotroph	Autotroph	Organotroph	Lithotroph	Chemotroph	Phototroph	Copiotroph_Diazotroph	Methylotroph	Oligotroph
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Racemicystis	persica	Racemicystis persica Moradi et al. 2017	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Immundisolibacterales	Immundisolibacteraceae	Immundisolibacter	cernigliae	Immundisolibacter cernigliae Corteselli et al. 2017	1	0	0	0	0	0	0	0	0
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	islandicus	Chloroflexus islandicus Gaisin et al. 2017	0.25	0	0.25	0	0.25	0.25	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	coriariae	Frankia coriariae Nouioui et al. 2017	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	resistens	Algoriphagus resistens Han et al. 2017	1	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	halophilus	Rhodohalobacter halophilus Xia et al. 2017	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	Beggiatoa	leptomitoformis	Beggiatoa leptomitoformis Dubinina et al. 2017	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	hongkongensis	Gordonia hongkongensis Tsang et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	pini	Streptomyces pini Madhaiyan et al. 2016 emend. Nouioui et al. 2018	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	faviae	Sulfitobacter faviae Kumari et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	rubra	Roseomonas rubra Subhash et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Martelella	suaedae	Martelella suaedae Chung et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	curvata	Shinella curvata Subhash and Lee 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	rosea	Skermanella rosea Subhash and Lee 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	montiporae	Thalassotalea montiporae Chen et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter	taiwanensis	Spongiibacter taiwanensis Jean et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Chitinibacteraceae	Chitinibacter	fontanus	Chitinibacter fontanus Sheu et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	cladophorae	Lacinutrix cladophorae Nedashkovskaya et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	albidiflavum	Marinifilum albidiflavum Xu et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pseudoduganella	danionis	Pseudoduganella danionis KÃ_mpfer et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Jeotgalibacillus	alkaliphilus	Jeotgalibacillus alkaliphilus Srinivas et al. 2016	0.5	0	0.5	0	0	0	0	0	0
Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	thailandense	Fervidobacterium thailandense Kanoksilapatham et al. 2016	0	0	1	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	zhejiangensis	Pseudoroseovarius zhejiangensis Sun et al. 2015	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	euphylliae	Thalassotalea euphylliae Sheu et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	bradum	Novosphingobium bradum Sheu et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	pocilloporae	Psychrobacter pocilloporae Zachariah et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	piscinae	Sphingomonas piscinae Chen et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Aquaspirillaceae	Microvirgula	curvata	Microvirgula curvata Subhash et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonadaceae	Marinomonas	blandensis	Marinomonas blandensis Arahal et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Formosimonas	limnophila	Formosimonas limnophila Chen et al. 2017	0	0	0	0.5	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Flectobacillus	fontis	Flectobacillus fontis Chen et al. 2017	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	versatilis	Aquimarina versatilis Lee et al. 2017	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Pleomorphochaeta	caudata	Pleomorphochaeta caudata Arroua et al. 2017	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	lipolytica	Alteromonas lipolytica Shi et al. 2017	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	Methylobacillus	methanolivorans	Methylobacillus methanolivorans Kaparullina et al. 2017	0	0	0	0	0	0	0	1	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Echinicola	strongylocentroti	Echinicola strongylocentroti Jung et al. 2017	1	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maripseudobacter	aurantiacus	Maripseudobacter aurantiacus Chen et al. 2017	1	0	0	0	0	0	0	0	0
